RowID,CrimeDateTime,Location,Description,Weapon,Gender,Age,Race,,District,Neighborhood,Latitude,Longitude
1205,2022/11/09 13:55:00+00,5800 YORK RD,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,M,22,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,ROSEBANK,39.3612,-76.61
1206,2022/10/26 18:00:00+00,1300 W NORTH AVE,BURGLARY,,M,34,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,PENN NORTH,39.3102,-76.6405
1207,2022/10/26 19:50:00+00,3600 W COLD SPRING LN,ROBBERY,PERSONAL_WEAPONS,M,,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,ASHBURTON,39.3359,-76.6754
1208,2022/10/26 19:00:00+00,3300 ANNAPOLIS RD,AUTO THEFT,,M,24,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,CHERRY HILL,39.2499,-76.6396
1209,2022/10/26 19:50:00+00,3400 CALLAWAY AVE,ROBBERY,PERSONAL_WEAPONS,F,26,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,CALLAWAY-GARRISON,39.3269,-76.6788
1210,2022/10/26 21:23:00+00,3800 W FOREST PARK AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,37,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,CONCERNED CITIZENS OF FOREST PARK,39.3255,-76.6835
1211,2022/10/26 21:30:00+00,800 BRADHURST RD,COMMON ASSAULT,,F,33,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,MID-GOVANS,39.3592,-76.6027
1212,2022/10/26 23:20:00+00,300 S BROADWAY,COMMON ASSAULT,,M,39,WHITE,,SOUTHEAST,FELLS POINT,39.2875,-76.5938
1213,2022/10/26 17:22:00+00,5400 HARFORD RD,LARCENY,,,,,,NORTHEAST,HAMILTON HILLS,39.3517,-76.562
1214,2022/10/26 19:38:00+00,5400 REISTERSTOWN RD,ROBBERY - COMMERCIAL,PERSONAL_WEAPONS,,,,,NORTHWEST,WOODMERE,39.3467,-76.6887
1215,2022/10/26 18:00:00+00,1300 W NORTH AVE,BURGLARY,,,,,,WESTERN,PENN NORTH,39.3102,-76.6405
1216,2022/10/26 19:00:00+00,400 W PRATT ST,LARCENY,,,,,,CENTRAL,DOWNTOWN WEST,39.2862,-76.6208
1217,2022/10/26 19:50:00+00,3600 W COLD SPRING LN,ROBBERY - COMMERCIAL,PERSONAL_WEAPONS,,,,,NORTHWEST,ASHBURTON,39.3359,-76.6754
1218,2022/10/26 20:51:00+00,6600 REISTERSTOWN RD,LARCENY,,,,,,NORTHWEST,REISTERSTOWN STATION,39.3575,-76.7043
1219,2022/10/26 10:56:00+00,3300 ESTHER PL,BURGLARY,,,,,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2941,-76.5706
1220,2022/10/26 10:32:00+00,0 S WOLFE ST,LARCENY,,,,,,SOUTHEAST,WASHINGTON HILL,39.2916,-76.5904
1221,2022/10/26 06:30:00+00,6500 REISTERSTOWN RD,LARCENY,,,,,,NORTHWEST,REISTERSTOWN STATION,39.3563,-76.7028
1222,2022/10/26 13:30:00+00,6600 REISTERSTOWN RD,LARCENY,,,,,,NORTHWEST,REISTERSTOWN STATION,39.3575,-76.7043
1223,2022/10/26 12:15:00+00,2300 E NORTHERN PKWY,ROBBERY - COMMERCIAL,,,,,,NORTHEAST,HAMILTON HILLS,39.3681,-76.5669
1224,2022/10/26 15:30:00+00,1500 HARFORD AVE,LARCENY,,,,,,EASTERN,OLIVER,39.308,-76.6006
1225,2022/10/26 17:00:00+00,3300 E FAYETTE ST,LARCENY,,,,,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2948,-76.5708
1226,2022/10/26 19:30:00+00,1300 W LAFAYETTE AVE,BURGLARY,PERSONAL_WEAPONS,F,31,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,SANDTOWN-WINCHESTER,39.2991,-76.6391
1227,2022/10/14 15:30:00+00,2000 N FOREST PARK AVE,AGG. ASSAULT,BLUNT_OBJECT,F,39,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,FRANKLINTOWN,39.3098,-76.7078
1228,2022/10/14 10:00:00+00,400 S PAYSON ST,LARCENY,,M,36,,,SOUTHERN,CARROLLTON RIDGE,39.2827,-76.6484
1229,2022/10/14 20:30:00+00,800 PONCA ST,LARCENY,,M,42,,,SOUTHEAST,GREEKTOWN,39.2839,-76.5547
1230,2022/10/14 19:00:00+00,4000 5TH ST,LARCENY,,M,51,WHITE,,SOUTHERN,BROOKLYN,39.2322,-76.6062
1231,2022/10/14 15:30:00+00,2000 GWYNNS FALLS PKWY,LARCENY,,F,58,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,MONDAWMIN,39.3159,-76.6522
1232,2022/10/14 19:00:00+00,1600 INVERNESS AVE,LARCENY,,F,34,,,SOUTHWEST,MORRELL PARK,39.2636,-76.662
1233,2022/10/14 22:00:00+00,1700 GREENMOUNT AVE,AUTO THEFT,,F,35,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,GREENMOUNT WEST,39.3091,-76.6093
1234,2022/10/14 15:20:00+00,5600 SEFTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,14,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,GLENHAM-BELHAR,39.3504,-76.5555
1235,2022/10/14 14:15:00+00,3600 CHESTNUT AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,12,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,HAMPDEN,39.3318,-76.6295
1236,2022/10/14 19:00:00+00,2600 HURON ST,BURGLARY,,F,33,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,MOUNT WINANS,39.261,-76.645
1237,2022/10/14 23:00:00+00,1800 HOLLINS ST,LARCENY FROM AUTO,,M,67,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,FRANKLIN SQUARE,39.2874,-76.6452
1238,2022/10/14 12:30:00+00,500 PRESSTMAN ST,LARCENY,,F,38,,,CENTRAL,UPTON,39.3061,-76.6374
1239,2022/10/14 10:10:00+00,2100 WILKENS AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,49,WHITE,,SOUTHWEST,CARROLLTON RIDGE,39.2812,-76.6495
1240,2022/10/14 07:08:00+00,0 N DECKER AVE,AGG. ASSAULT,,F,20,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2928,-76.5741
1241,2022/10/14 07:45:00+00,1900 WORCESTER ST,AGG. ASSAULT,HANDGUN,M,36,WHITE,,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,39.2751,-76.6283
1242,2022/10/14 08:50:00+00,4800 HARFORD RD,BURGLARY,,F,41,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,WALTHERSON,39.3446,-76.5676
1243,2022/10/14 08:27:00+00,6400 PIONEER DR,ROBBERY,FIREARM,M,16,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,HAMILTON HILLS,39.3647,-76.5722
1244,2022/10/14 08:00:00+00,1700 RAMSAY ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,29,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,39.2833,-76.6436
1245,2022/10/02 00:09:00+00,800 S BOND ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,40,WHITE,,SOUTHEAST,FELLS POINT,39.2823,-76.5952
1246,2022/10/02 19:00:00+00,400 N CURLEY ST,AGG. ASSAULT,OTHER,F,25,WHITE,,SOUTHEAST,ELLWOOD PARK/MONUMENT,39.2959,-76.5757
1247,2022/10/02 19:00:00+00,3300 EDMONDSON AVE,BURGLARY,,M,67,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,LOWER EDMONDSON VILLAGE,39.2939,-76.674
1248,2022/10/02 19:00:00+00,2600 ULMAN AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,47,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,PARK CIRCLE,39.3298,-76.6584
1249,2022/10/02 19:45:00+00,1800 HARFORD AVE,COMMON ASSAULT,,F,30,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,OLIVER,39.3107,-76.5999
1250,2022/10/02 00:00:00+00,1100 N LONGWOOD ST,AUTO THEFT,,M,27,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,WINCHESTER,39.3013,-76.6674
1251,2022/10/02 10:36:00+00,100 W CROSS ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,29,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,SHARP-LEADENHALL,39.2765,-76.6166
