RowID,CrimeDateTime,Location,Description,Weapon,Gender,Age,Race,,District,Neighborhood,Latitude,Longitude
53,2022/10/16 20:25:00+00,6600 BELAIR RD,ROBBERY,KNIFE_CUTTING_INSTRUMENT,F,30,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,CEDMONT,39.3544,-76.531
54,2022/10/16 17:00:00+00,2900 SOUTHLAND AVE,AUTO THEFT,,M,31,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,CHERRY HILL,39.2505,-76.6193
55,2022/10/16 20:59:00+00,3200 W NORTH AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,25,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,WALBROOK,39.309,-76.671
56,2022/10/16 20:30:00+00,500 W HOFFMAN ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,53,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,UPTON,39.3001,-76.6268
57,2022/10/16 19:00:00+00,200 S BROADWAY,LARCENY,,F,22,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,FELLS POINT,39.2889,-76.5938
58,2022/10/16 22:00:00+00,4600 BAYONNE AVE,AUTO THEFT,,F,42,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,FRANKFORD,39.3412,-76.5376
59,2022/10/16 19:00:00+00,900 SAINT PAUL ST,LARCENY,,M,39,,,CENTRAL,MOUNT VERNON,39.3002,-76.6143
60,2022/10/04 13:00:00+00,6000 MORAVIA PARK DR,AGG. ASSAULT,FIREARM,F,7,WHITE,,NORTHEAST,FRANKFORD,39.3162,-76.5433
61,2022/10/04 13:00:00+00,4800 PIMLICO RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,11,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,CYLBURN,39.3478,-76.6687
62,2022/10/04 23:00:00+00,4800 NORWOOD AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,22,,,NORTHWEST,HOWARD PARK,39.3292,-76.6975
63,2022/10/04 22:00:00+00,3700 YOLANDO RD,LARCENY FROM AUTO,,M,57,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,EDNOR GARDENS-LAKESIDE,39.3333,-76.6002
64,2022/10/04 05:00:00+00,3600 WABASH AVE,BURGLARY,,F,23,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,ASHBURTON,39.3269,-76.6649
65,2022/10/04 23:00:00+00,0 W TALBOTT ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,23,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,BROOKLYN,39.2362,-76.6115
66,2022/10/04 20:50:00+00,2400 LOYOLA NORTHWAY,LARCENY,,F,31,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,GREENSPRING,39.3382,-76.6584
67,2022/10/04 22:05:00+00,0 S GREENE ST,COMMON ASSAULT,,F,47,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,UNIVERSITY OF MARYLAND,39.2884,-76.6237
68,2022/10/04 20:00:00+00,200 DOUGLASS CT,LARCENY,,F,59,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,DUNBAR-BROADWAY,39.2946,-76.597
69,2022/10/04 00:00:00+00,5200 YORK RD,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,21,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,YORK-HOMELAND,39.3534,-76.6099
70,2022/10/04 22:00:00+00,4900 ALSON DR,BURGLARY,,,,,,SOUTHWEST,WEST HILLS,39.2931,-76.7051
71,2022/10/04 04:04:00+00,5900 BELAIR RD,LARCENY,,,,,,NORTHEAST,CEDMONT,39.3452,-76.5414
72,2022/10/04 08:30:00+00,2700 W FRANKLIN ST,LARCENY,,,,,,SOUTHWEST,PENROSE/FAYETTE STREET OUTREACH,39.293,-76.6615
73,2022/10/04 18:00:00+00,4100 PULASKI HWY,LARCENY,,,,,,EASTERN,KRESSON,39.297,-76.563
74,2022/10/04 23:30:00+00,1500 S CATON AVE,LARCENY,,,,,,SOUTHWEST,MORRELL PARK,39.2616,-76.6652
75,2022/10/04 02:00:00+00,5600 ODONNELL ST,BURGLARY,,,,,,SOUTHEAST,MEDFORD,39.2812,-76.5481
76,2022/10/04 02:00:00+00,5600 ODONNELL ST,AUTO THEFT,,,,,,SOUTHEAST,MEDFORD,39.2812,-76.5481
77,2022/10/04 22:30:00+00,300 ALBEMARLE ST,AUTO THEFT,,F,56,,,SOUTHEAST,LITTLE ITALY,39.286,-76.6023
78,2022/10/04 02:00:00+00,5600 ODONNELL ST,BURGLARY,,M,65,WHITE,,SOUTHEAST,MEDFORD,39.2812,-76.5481
79,2022/10/04 10:58:00+00,1000 S CHARLES ST,LARCENY,,,,,,SOUTHERN,FEDERAL HILL,39.278,-76.6145
80,2022/11/12 20:00:00+00,200 N CHARLES ST,LARCENY,,M,39,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DOWNTOWN,39.2918,-76.6153
81,2022/11/12 02:00:00+00,100 W OSTEND ST,AUTO THEFT,,M,24,WHITE,,SOUTHERN,SHARP-LEADENHALL,39.2748,-76.6155
82,2022/11/12 21:00:00+00,CAROLINE ST & E FAYETTE ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,66,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,WASHINGTON HILL,39.2932,-76.5973
83,2022/11/12 21:20:00+00,100 N SCHROEDER ST,AUTO THEFT,,M,21,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,POPPLETON,39.29,-76.6338
84,2022/11/12 19:30:00+00,4900 LIBERTY HEIGHTS AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,20,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,HOWARD PARK,39.3324,-76.6986
85,2022/11/12 21:53:00+00,3400 KENYON AVE,COMMON ASSAULT,OTHER,F,57,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,BELAIR-EDISON,39.3221,-76.5649
86,2022/11/12 20:00:00+00,1600 WADSWORTH WAY,COMMON ASSAULT,,F,19,BLACK_OR_AFRICAN_AMERICAN,,,,,
87,2022/11/12 20:00:00+00,1200 W CROSS ST,AUTO THEFT,,F,35,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,39.2825,-76.6322
88,2022/11/12 10:55:00+00,1300 W LOMBARD ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,20,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,UNION SQUARE,39.2866,-76.6381
89,2022/11/12 19:30:00+00,2400 N CHARLES ST,LARCENY,,,,,,NORTHERN,OLD GOUCHER,39.3164,-76.6168
90,2022/11/12 11:05:00+00,1600 RUXTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,49,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,COPPIN HEIGHTS/ASH-CO-EAST,39.3065,-76.655
91,2022/11/12 00:00:00+00,2600 E CHASE ST,AGG. ASSAULT,PERSONAL_WEAPONS,F,31,,,EASTERN,BIDDLE STREET,39.3038,-76.5808
92,2022/11/12 20:00:00+00,600 S CHARLES ST,LARCENY,,M,23,ASIAN,,SOUTHERN,OTTERBEIN,39.282,-76.6147
93,2022/11/12 03:25:00+00,500 SHERIDAN AVE,AGG. ASSAULT,,F,40,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,WOODBOURNE-MCCABE,39.3545,-76.6093
94,2022/11/12 11:44:00+00,2500 N CHARLES ST,LARCENY,,,,,,NORTHERN,CHARLES VILLAGE,39.3182,-76.6171
95,2022/11/12 15:51:00+00,1200 N CHARLES ST,LARCENY,,,,,,CENTRAL,MID-TOWN BELVEDERE,39.3035,-76.616
96,2022/11/12 12:04:00+00,700 S CENTRAL AVE,LARCENY,,,,,,SOUTHEAST,INNER HARBOR,39.2832,-76.599
97,2022/11/12 17:05:00+00,900 W 36TH ST,LARCENY,,,,,,NORTHERN,HAMPDEN,39.3312,-76.6315
98,2022/11/12 18:15:00+00,4600 LIBERTY HEIGHTS AVE,LARCENY,,,,,,NORTHWEST,HOWARD PARK,39.3309,-76.6943
99,2022/11/12 10:50:00+00,3500 HARFORD RD,BURGLARY,,,,,,NORTHEAST,MAYFIELD,39.3298,-76.5818
100,2022/11/12 01:43:00+00,600 SAVAGE ST,COMMON ASSAULT,,F,15,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,GREEKTOWN,39.2861,-76.5521
101,2022/11/12 03:19:00+00,1600 RALWORTH RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,35,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,HILLEN,39.3392,-76.5898
102,2022/09/22 12:41:00+00,0 S HIGHLAND AVE,LARCENY,,F,33,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2921,-76.5694
103,2022/09/22 15:50:00+00,5100 SUNSET RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,14,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,LEVINDALE,39.3519,-76.6647
104,2022/09/22 19:00:00+00,2600 E MONUMENT ST,BURGLARY,,F,19,,,EASTERN,MCELDERRY PARK,39.2989,-76.5801
105,2022/09/22 08:30:00+00,1800 SAINT PAUL ST,BURGLARY,,M,28,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,CHARLES NORTH,39.3102,-76.6149
106,2022/09/22 15:15:57+00,1500 DRUID HILL AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,26,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,UPTON,39.3038,-76.6309
107,2022/09/22 17:00:00+00,2100 ERDMAN AVE,LARCENY,,M,55,WHITE,,NORTHEAST,MONTEBELLO,39.3292,-76.5846
108,2022/09/22 00:05:00+00,1400 N CHESTER ST,ROBBERY,PERSONAL_WEAPONS,F,30,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,BROADWAY EAST,39.3074,-76.5884
109,2022/09/22 01:54:00+00,1500 W NORTH AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,M,34,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,PENN NORTH,39.3102,-76.6416
110,2022/09/22 23:00:00+00,4000 BIDDISON LN,LARCENY,,F,65,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,WALTHERSON,39.3381,-76.5544
111,2022/09/22 02:00:00+00,3300 CHESTERFIELD AVE,BURGLARY,,F,60,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,BELAIR-EDISON,39.3225,-76.5665
112,2022/09/22 02:00:00+00,2100 BARCLAY ST,LARCENY,,F,45,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,BARCLAY,39.3139,-76.611
113,2022/09/22 02:55:00+00,500 ST MARY ST,ROBBERY,HANDGUN,M,34,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,SETON HILL,39.2975,-76.623
114,2022/09/22 00:00:00+00,100 S CAREY ST,ROBBERY,PERSONAL_WEAPONS,F,34,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,UNION SQUARE,39.2865,-76.6381
115,2022/09/22 04:00:00+00,FULTON AV & WILKENS AV,ROBBERY - CARJACKING,HANDGUN,M,33,WHITE,,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,39.2831,-76.6438
116,2022/09/22 21:33:00+00,200 N EDGEWOOD ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,16,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,ALLENDALE,39.2905,-76.676
117,2022/09/22 19:00:00+00,0 W FRANKLIN ST,LARCENY,,F,32,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DOWNTOWN,39.295,-76.6158
118,2022/09/22 10:00:00+00,2400 LOYOLA NORTHWAY,BURGLARY,,F,45,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,GREENSPRING,39.3381,-76.6584
119,2022/09/22 19:30:00+00,0 N LUZERNE AVE,LARCENY,,M,40,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2927,-76.5804
120,2022/10/29 15:00:00+00,6400 HARTWAIT ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,30,WHITE,,SOUTHEAST,BROENING MANOR,39.2744,-76.5365
121,2022/10/29 12:00:00+00,1600 N DURHAM ST,LARCENY FROM AUTO,,M,35,,,EASTERN,BROADWAY EAST,39.3089,-76.5921
122,2022/10/29 14:50:00+00,400 N EUTAW ST,COMMON ASSAULT,,F,26,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DOWNTOWN,39.2943,-76.6213
123,2022/10/29 22:40:00+00,1600 CHERRY ST,LARCENY,,F,33,ASIAN,,SOUTHERN,CURTIS BAY,39.2223,-76.5873
124,2022/10/29 15:00:00+00,4000 W ROGERS AVE,LARCENY,,M,,ASIAN,,NORTHWEST,WOODMERE,39.3482,-76.6894
125,2022/10/29 00:00:00+00,1000 HEWITT WAY,LARCENY,,M,42,,,NORTHEAST,ARMISTEAD GARDENS,39.3043,-76.5454
126,2022/10/29 09:00:00+00,800 LINDEN AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,45,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,MOUNT VERNON,39.2993,-76.6207
127,2022/10/29 10:40:00+00,1700 CLIFTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,38,WHITE,,WESTERN,PENN NORTH,39.3121,-76.6463
128,2022/10/29 17:00:00+00,1900 MOUNT ROYAL TER,LARCENY,,M,31,WHITE,,CENTRAL,RESERVOIR HILL,39.3111,-76.6256
129,2022/10/29 21:00:00+00,1600 DRUID HILL AVE,AUTO THEFT,,M,50,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,UPTON,39.3044,-76.6316
130,2022/10/29 13:23:00+00,700 DEEPDENE RD,LARCENY,,F,53,WHITE,,NORTHERN,WYNDHURST,39.3564,-76.6341
131,2022/10/29 13:00:00+00,4100 POTTER ST,AGG. ASSAULT,PERSONAL_WEAPONS,F,47,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,IRVINGTON,39.2782,-76.6839
132,2022/10/29 18:21:00+00,3100 FERNDALE AVE,COMMON ASSAULT,,F,18,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,HOWARD PARK,39.3268,-76.7025
133,2022/10/29 09:20:00+00,1200 W PRATT ST,COMMON ASSAULT,,F,33,WHITE,,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,39.2855,-76.6374
134,2022/10/29 09:00:00+00,5200 CORDELIA AVE,AUTO THEFT,,M,37,,,NORTHWEST,ARLINGTON,39.3467,-76.6826
135,2022/10/29 18:00:00+00,4400 N ROGERS AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,21,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,WEST ARLINGTON,39.3429,-76.6944
136,2022/10/29 11:15:00+00,1100 SOMERSET ST,LARCENY,,F,24,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,JOHNSTON SQUARE,39.3037,-76.6013
137,2022/10/29 22:25:00+00,1800 RUXTON AVE,LARCENY,PERSONAL_WEAPONS,F,25,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,COPPIN HEIGHTS/ASH-CO-EAST,39.3091,-76.6551
138,2022/10/29 22:00:00+00,3700 4TH ST,BURGLARY,,F,41,,,SOUTHERN,BROOKLYN,39.2356,-76.6062
139,2022/10/29 19:04:00+00,90 S President St,LARCENY,,M,63,WHITE,,SOUTHEAST,JONESTOWN,39.2885,-76.6048
140,2022/10/29 22:00:00+00,1500 N SPRING ST,LARCENY,,M,40,,,EASTERN,OLIVER,39.3074,-76.599
141,2022/10/16 23:00:00+00,1600 FLEET ST,AUTO THEFT,,F,60,,,SOUTHEAST,FELLS POINT,39.2845,-76.5952
142,2022/10/16 20:10:00+00,1400 N ELLWOOD AVE,COMMON ASSAULT,,M,22,BLACK_OR_AFRICAN_AMERICAN,,EASTERN,BEREA,39.3073,-76.5739
143,2022/10/16 07:35:00+00,5600 THE ALAMEDA,COMMON ASSAULT,PERSONAL_WEAPONS,M,,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,GLEN OAKS,39.357,-76.5957
144,2022/10/16 11:32:00+00,1000 FELL ST,LARCENY FROM AUTO,,M,59,WHITE,,SOUTHEAST,FELLS POINT,39.2807,-76.5895
145,2022/10/16 13:00:00+00,3200 GULFPORT DR,COMMON ASSAULT,PERSONAL_WEAPONS,F,22,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,CHERRY HILL,39.2478,-76.6187
146,2022/10/16 17:00:00+00,3500 E FAIRMOUNT AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,M,48,,,SOUTHEAST,BALTIMORE HIGHLANDS,39.2936,-76.5681
147,2022/10/16 22:29:00+00,4900 WILLSHIRE AVE,AGG. ASSAULT,FIREARM,M,26,WHITE,,NORTHEAST,FRANKFORD,39.3312,-76.5409
148,2022/10/16 22:30:00+00,2400 ARUNAH AVE,AGG. ASSAULT,,F,36,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,ROSEMONT HOMEOWNERS/TENANTS,39.2955,-76.6551
149,2022/10/16 23:15:00+00,2500 ORLEANS ST,ROBBERY,PERSONAL_WEAPONS,M,41,,,SOUTHEAST,MCELDERRY PARK,39.2957,-76.582
150,2022/10/16 20:00:00+00,400 N BRADFORD ST,LARCENY FROM AUTO,,F,27,,,SOUTHEAST,MCELDERRY PARK,39.2956,-76.5843
151,2022/10/16 02:53:00+00,4600 FALLS RD,BURGLARY,,,,,,NORTHERN,CROSS KEYS,39.3451,-76.6409
152,2022/10/16 04:00:00+00,0 S LINWOOD AVE,LARCENY FROM AUTO,,F,36,WHITE,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2918,-76.5761
153,2022/10/16 15:16:00+00,3800 E NORTHERN PKWY,LARCENY,,F,29,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,OVERLEA,39.3579,-76.5352
154,2022/10/16 01:45:00+00,1900 ARGONNE DR,LARCENY,PERSONAL_WEAPONS,F,25,WHITE,,NORTHEAST,MORGAN STATE UNIVERSITY,39.3405,-76.5821
155,2022/10/16 09:30:00+00,400 N MILTON AVE,LARCENY,,F,45,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,MCELDERRY PARK,39.2959,-76.5822
156,2022/10/16 14:30:00+00,1200 BATTERY AVE,LARCENY,,M,26,WHITE,,SOUTHERN,RIVERSIDE,39.275,-76.6096
157,2022/10/16 15:00:00+00,600 DEEPDENE RD,AUTO THEFT,,M,58,WHITE,,NORTHERN,WYNDHURST,39.3566,-76.6309
158,2022/10/16 21:07:00+00,3900 W BELVEDERE AVE,LARCENY,,,,,,NORTHWEST,ARLINGTON,39.3447,-76.6821
159,2022/10/16 02:00:00+00,ST & STOLL PL,AUTO THEFT,,,,,,SOUTHERN,BROOKLYN,39.23,-76.598
160,2022/10/15 02:30:00+00,2200 N HOWARD ST,LARCENY,,,,,,NORTHERN,OLD GOUCHER,39.3143,-76.6194
161,2022/10/04 14:37:23+00,600 E PRATT ST,LARCENY,,,,,,CENTRAL,INNER HARBOR,39.2868,-76.6077
162,2022/10/04 15:37:00+00,1500 HAVENWOOD RD,LARCENY,,,,,,NORTHEAST,HILLEN,39.3407,-76.5928
163,2022/10/04 16:05:00+00,4300 BELAIR RD,LARCENY FROM AUTO,,,,,,NORTHEAST,BELAIR-PARKSIDE,39.3283,-76.5653
164,2022/10/04 16:00:00+00,6300 HOLABIRD AVE,AUTO THEFT,,,,,,SOUTHEAST,BROENING MANOR,39.2724,-76.5376
165,2022/10/04 18:15:00+00,900 N CHARLES ST,LARCENY,,,,,,CENTRAL,MOUNT VERNON,39.3006,-76.6159
166,2022/10/04 09:54:00+00,200 MCMECHEN ST,ROBBERY - COMMERCIAL,PERSONAL_WEAPONS,,,,,CENTRAL,BOLTON HILL,39.3073,-76.6278
167,2022/10/04 14:00:00+00,2400 FAIT AV,COMMON ASSAULT,PERSONAL_WEAPONS,M,10,WHITE,,SOUTHEAST,CANTON,39.2831,-76.5817
168,2022/10/04 04:24:00+00,300 N CHARLES ST,ROBBERY - COMMERCIAL,KNIFE_CUTTING_INSTRUMENT,,,,,CENTRAL,DOWNTOWN,39.2924,-76.6154
169,2022/10/04 13:30:00+00,1700 W LEXINGTON ST,LARCENY,,F,29,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,FRANKLIN SQUARE,39.2906,-76.644
170,2022/10/04 17:20:00+00,0 N MONTFORD AVE,LARCENY,,M,32,WHITE,,SOUTHEAST,PATTERSON PLACE,39.2923,-76.5834
171,2022/10/04 12:00:00+00,3200 WESTMONT AVE,LARCENY,,F,31,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,ROSEMONT,39.3014,-76.6701
172,2022/10/04 00:30:00+00,3200 HAMILTON AVE,LARCENY,,M,19,WHITE,,NORTHEAST,GLENHAM-BELHAR,39.3499,-76.5591
173,2022/10/04 14:30:00+00,0 W BIDDLE ST,LARCENY,,F,23,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,MID-TOWN BELVEDERE,39.3035,-76.6172
174,2022/10/04 20:03:00+00,4900 CRENSHAW AVE,ARSON,,F,34,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,FRANKFORD,39.3285,-76.5467
175,2022/10/04 00:00:00+00,1700 BANK ST,LARCENY FROM AUTO,,M,23,,,SOUTHEAST,FELLS POINT,39.2866,-76.5928
176,2022/10/04 09:00:00+00,300 FRANKLE ST,BURGLARY,,M,73,WHITE,,SOUTHERN,BROOKLYN,39.2325,-76.6094
177,2022/10/04 17:27:00+00,0 N STOCKTON ST,LARCENY,,M,56,WHITE,,WESTERN,POPPLETON,39.2887,-76.6375
178,2022/10/04 15:05:00+00,300 PONTIAC AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,32,,,SOUTHERN,BROOKLYN,39.2367,-76.6075
179,2022/10/04 08:00:00+00,2400 WASHINGTON BLVD,LARCENY,,M,32,WHITE,,SOUTHWEST,MORRELL PARK,39.2672,-76.6518
180,2022/10/04 08:00:00+00,2400 WASHINGTON BLVD,LARCENY,,F,52,WHITE,,SOUTHWEST,MORRELL PARK,39.2672,-76.6518
181,2022/09/22 22:00:00+00,700 DRUID PARK LAKE DR,COMMON ASSAULT,,M,63,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,RESERVOIR HILL,39.3166,-76.6315
182,2022/09/22 22:50:00+00,2900 HARFORD RD,ROBBERY - CARJACKING,FIREARM,M,60,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,39.3232,-76.5882
183,2022/09/22 23:18:00+00,100 N SCHROEDER ST,AUTO THEFT,,M,32,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,POPPLETON,39.29,-76.6338
184,2022/09/22 14:30:00+00,3800 CRANSTON AVE,LARCENY,,F,40,BLACK_OR_AFRICAN_AMERICAN,,SOUTHWEST,EDMONDSON VILLAGE,39.2964,-76.6804
185,2022/09/22 16:55:00+00,3800 8TH ST,LARCENY,,F,31,BLACK_OR_AFRICAN_AMERICAN,,SOUTHERN,BROOKLYN,39.2332,-76.6005
186,2022/09/22 20:51:00+00,2300 ROUND RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,22,,,SOUTHERN,CHERRY HILL,39.2533,-76.6263
187,2022/09/22 20:13:00+00,0 N LAKEWOOD AVE,LARCENY,,F,45,WHITE,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2927,-76.5791
188,2022/09/22 21:05:00+00,100 WILSON ST,ROBBERY - CARJACKING,HANDGUN,F,20,WHITE,,CENTRAL,BOLTON HILL,39.3096,-76.6265
189,2022/09/22 06:00:00+00,100 N DALLAS ST,LARCENY FROM AUTO,,M,33,WHITE,,SOUTHEAST,WASHINGTON HILL,39.2924,-76.5966
190,2022/09/22 15:30:00+00,600 S WOLFE ST,LARCENY,,F,28,WHITE,,SOUTHEAST,FELLS POINT,39.2846,-76.59
191,2022/09/22 10:14:00+00,6600 BELAIR RD,ROBBERY,KNIFE_CUTTING_INSTRUMENT,M,24,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,CEDMONT,39.3547,-76.5307
192,2022/09/22 13:00:00+00,FAYETTE ST & N LAKEWOOD AV,LARCENY,,F,33,WHITE,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2945,-76.5792
193,2022/09/22 07:15:00+00,1700 ABBOTSTON ST,LARCENY,,F,67,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,39.3217,-76.5924
194,2022/09/22 22:00:00+00,3900 FLEET ST,AGG. ASSAULT,ASPHYXIATION,F,39,WHITE,,SOUTHEAST,BREWERS HILL,39.2857,-76.564
195,2022/09/22 02:00:00+00,400 N LUZERNE AVE,LARCENY FROM AUTO,,F,31,NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER,,SOUTHEAST,MCELDERRY PARK,39.2962,-76.5808
196,2022/09/22 09:28:00+00,2100 BARCLAY ST,ARSON,,M,68,ASIAN,,EASTERN,BARCLAY,39.3139,-76.611
197,2022/09/22 09:00:00+00,5300 BELAIR RD,COMMON ASSAULT,,F,10,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,WALTHERSON,39.3378,-76.5522
198,2022/09/22 10:18:00+00,2500 N HOWARD ST,ROBBERY,HANDGUN,F,36,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,REMINGTON,39.3178,-76.6198
199,2022/09/22 09:55:00+00,4500 EDMONDSON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,55,AMERICAN_INDIAN_OR_ALASKA_NATIVE,,SOUTHWEST,ROGNEL HEIGHTS,39.2935,-76.6938
200,2022/11/12 00:00:00+00,2600 E CHASE ST,AGG. ASSAULT,PERSONAL_WEAPONS,F,8,,,EASTERN,BIDDLE STREET,39.3038,-76.5808
201,2022/11/12 04:58:00+00,FOREST PARK AV & CHELSEA TE,AGG. ASSAULT,FIREARM,M,38,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,CENTRAL FOREST PARK,39.3253,-76.6842
202,2022/11/12 04:15:00+00,2400 BANGER ST,COMMON ASSAULT,,F,28,WHITE,,SOUTHERN,LAKELAND,39.259,-76.6484
203,2022/11/12 00:30:00+00,1700 E 33RD ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,20,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,EDNOR GARDENS-LAKESIDE,39.3286,-76.5902
204,2022/11/12 00:45:00+00,5600 THE ALAMEDA,AUTO THEFT,,M,32,,,NORTHERN,GLEN OAKS,39.3595,-76.5945
205,2022/11/12 10:00:00+00,5700 BELAIR RD,ROBBERY,PERSONAL_WEAPONS,F,37,WHITE,,NORTHEAST,FRANKFORD,39.3429,-76.5446
206,2022/11/11 18:36:00+00,600 E PRATT ST,LARCENY,,,,,,CENTRAL,INNER HARBOR,39.2868,-76.6077
207,2022/11/11 22:25:00+00,300 W BALTIMORE ST,LARCENY,,,,,,CENTRAL,DOWNTOWN,39.2894,-76.6195
208,2022/11/11 23:15:00+00,2400 WINCHESTER ST,LARCENY,,,,,,WESTERN,BRIDGEVIEW/GREENLAWN,39.3016,-76.6568
209,2022/11/11 20:00:00+00,1200 BEAUMONT AVE,AUTO THEFT,,,,,,NORTHERN,NEW NORTHWOOD,39.3509,-76.5987
210,2022/11/11 23:00:00+00,3300 EASTERN AVE,BURGLARY,,,,,,SOUTHEAST,CANTON,39.2865,-76.5694
